id_acidente;cadloga;cadlogb;alt_num;referencia;data;cod_acid;dp;talao;feridos;mortos;distrito_atz;princ_a;princ_b;tipo_acidente;automovel;moto;onibus;caminhao;bicicleta;moto_taxi;onibus_fretado;onibus_urbano;microonibus;van;vuc;caminhonete;carreta;jipe;outros;sem_info;carroca;latitude;longitude;end;geocode;flag_cruzamento
D091702846;7257;;960;;9/29/2017 18:40;2;14;5206;1;0;2;7257;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.547496;-46.715654;AVENIDA PROF  FONSECA RODRIGUES, 960;MapInfo CET;FALSE
D031700701;14651;;510;;3/20/2017 18:45;2;42;1779;1;0;72;14651;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.597286;-46.547935;RUA DR  NOGUEIRA DE NORONHA, 510;MapInfo CET;FALSE
D051700824;2271;;1670;;5/28/2017 18:45;2;23;1423;1;0;60;2271;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.54913;-46.680464;AVENIDA DR  ARNALDO, 1670;MapInfo CET;FALSE
D091702538;16919;6897;0;;9/10/2017 18:46;2;14;7899;1;0;62;6897;16919;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.571054;-46.690645;AVENIDA   REBOUCAS X AVENIDA BRIG  FARIA LIMA;MapInfo CET;TRUE
D091702454;10503;;2705;;9/20/2017 18:49;2;41;8764;1;0;4;10503;;CO;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-23.560931;-46.522001;AVENIDA   JOAO XXIII, 2705;MapInfo CET;FALSE
D101700979;43777;16981;0;;10/7/2017 18:49;2;10;8241;1;0;59;16981;43777;CO;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.514785;-46.547941;AVENIDA GOV  CARVALHO PINTO X RUA DR  RENATO MAIA;MapInfo CET;TRUE
D041700362;40010;;120;;4/30/2017 18:50;2;72;3360;1;0;11;40010;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.455034;-46.681569;RUA   BERNARDO DE VERA, 120;MapInfo CET;FALSE
D111700174;5309;;1388;;11/13/2017 18:50;2;51;9882;1;0;12;5309;;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.574306;-46.727585;AVENIDA   CORIFEU DE AZEVEDO MARQUES, 1388;MapInfo CET;FALSE
D021700225;3771;;10;;2/20/2017 18:53;2;28;1668;1;0;50;3771;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.505028;-46.688158;AVENIDA   INAJAR DE SOUZA, 10;MapInfo CET;FALSE
D091702842;3581;;1987;;9/21/2017 18:54;2;78;9062;1;0;45;3581;;CO;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;-23.566454;-46.675259;AVENIDA   BRASIL, 1987;MapInfo CET;FALSE
D081701035;38283;;3658;;8/9/2017 18:55;2;25;2853;1;0;55;38283;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.803191;-46.735634;RUA   CAROLINA REIMBERG, 3658;MapInfo CET;FALSE
D101702936;77598;;159;;10/8/2017 18:55;2;72;8281;1;0;11;77598;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.457461;-46.682497;RUA   SEVERINO NUNESTRADA DA COSTA, 159;MapInfo CET;FALSE
D081700680;13172;12656;0;;8/5/2017 18:58;2;9;7363;1;0;86;12656;13172;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.506401;-46.602399;RUA   MARIA CANDIDA X RUA   MANUEL DE ALMEIDA;MapInfo CET;TRUE
D021700477;17820;;3100;;2/26/2017 19:00;2;59;1998;1;0;84;17820;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.494518;-46.416397;AVENIDA MALAMEDA  TITO, 3100;MapInfo CET;FALSE
D021700749;64026;;20;;2/1/2017 19:00;2;69;1086;0;1;76;64026;;CL;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.619168;-46.494158;RUA CABO  PAULO PEREIRA DA SILVA, 20;MapInfo CET;FALSE
D041700689;15507;;7000;;4/12/2017 19:00;2;85;3386;1;0;23;15507;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.759254;-46.714738;AVENIDA SEN  TEOTONIO VILELA, 7000;MapInfo CET;FALSE
D041700701;3813;;1767;;4/19/2017 19:00;2;40;3626;1;0;50;3813;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.499421;-46.664846;AVENIDA ENG  CAETANO ALVARES, 1767;MapInfo CET;FALSE
D051700356;17487;;100;;5/20/2017 19:00;2;51;4333;1;0;12;17487;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.571174;-46.717469;RUA MAJ  RUBENS FLORENTINO VAZ, 100;MapInfo CET;FALSE
D091703183;12716;;375;;9/29/2017 19:00;2;39;9227;1;0;81;12716;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.466172;-46.5965;RUA   MANUEL GAYA, 375;MapInfo CET;FALSE
D111703104;15358;;41;;11/27/2017 19:00;2;25;11189;1;0;69;15358;;CF;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.538469;-46.649783;RUA  DAS PALMEIRAS, 41;MapInfo CET;FALSE
D121702294;19942;16093;0;;12/18/2017 19:00;2;23;6680;1;0;26;16093;19942;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.546268;-46.669859;PRACA   WENDELL WILKIE X RUA ALM  PEREIRA GUIMARAES;MapInfo CET;TRUE
D041700850;17206;;38;;4/9/2017 19:03;2;73;3609;1;0;81;17206;;CO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.44074;-46.581538;RUA   FRANCESCO MANFREDINI, 38;MapInfo CET;FALSE
D091703847;1803;;484;;9/12/2017 19:05;2;40;8144;1;0;50;1803;;CL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.499639;-46.683927;AVENIDA   ANTONIO MUNHOZ BONILHA, 484;MapInfo CET;FALSE
D061700443;14975;;670;;6/22/2017 19:12;2;22;5195;2;0;44;14975;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.484704;-46.428173;AVENIDA   OLIVEIRA FREIRE, 670;MapInfo CET;FALSE
D101701479;31919;19931;0;;10/12/2017 19:15;2;27;8793;0;1;15;19931;31919;CV;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.633464;-46.668967;AVENIDA JORN  ROBERTO MARINHO X AVENIDA   WASHINGTON LUIS;MapInfo CET;TRUE
D061700190;21693;;100;;6/15/2017 19:16;2;17;5873;2;0;34;21693;;CO;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-23.603281;-46.604137;RUA DR  AUDISIO DE ALENCAR, 100;MapInfo CET;FALSE
